"AB101LP",10,394318,806364,"S92000003","","S08000006","","S12000033","S13002483"
"AB101LQ",10,394218,806655,"S92000003","","S08000006","","S12000033","S13002483"
"AB101LU",10,394218,806655,"S92000003","","S08000006","","S12000033","S13002483"
"AB101LX",10,393868,806088,"S92000003","","S08000006","","S12000033","S13002482"
"AB101NG",10,393590,805964,"S92000003","","S08000006","","S12000033","S13002482"
"AB101NJ",10,393859,806121,"S92000003","","S08000006","","S12000033","S13002482"
"AB101NL",10,393789,806187,"S92000003","","S08000006","","S12000033","S13002482"
"AB101NN",10,393726,806260,"S92000003","","S08000006","","S12000033","S13002482"
"AB101NP",10,393691,806303,"S92000003","","S08000006","","S12000033","S13002482"
"AB101NT",10,393267,805744,"S92000003","","S08000006","","S12000033","S13002485"
"AB101NW",10,392710,805764,"S92000003","","S08000006","","S12000033","S13002485"
"AB101PA",10,393579,805945,"S92000003","","S08000006","","S12000033","S13002482"
"AB101PD",10,393486,805888,"S92000003","","S08000006","","S12000033","S13002482"
"AB101PE",10,393279,806201,"S92000003","","S08000006","","S12000033","S13002482"
"AB101PF",10,393318,806265,"S92000003","","S08000006","","S12000033","S13002482"
"AB101PG",10,393412,806284,"S92000003","","S08000006","","S12000033","S13002482"
"AB101PN",10,393131,806019,"S92000003","","S08000006","","S12000033","S13002482"
"AB101PP",10,392968,806047,"S92000003","","S08000006","","S12000033","S13002485"
"AB101PR",10,393788,806059,"S92000003","","S08000006","","S12000033","S13002482"
"AB101PS",10,393145,805815,"S92000003","","S08000006","","S12000033","S13002482"
"AB101PU",10,393238,805909,"S92000003","","S08000006","","S12000033","S13002482"
"AB101PY",10,393214,805751,"S92000003","","S08000006","","S12000033","S13002485"
"AB101QA",10,393167,806034,"S92000003","","S08000006","","S12000033","S13002482"
"AB101QB",10,393105,805894,"S92000003","","S08000006","","S12000033","S13002485"
"AB101QD",10,393583,806314,"S92000003","","S08000006","","S12000033","S13002482"
"AB101QE",10,393545,806324,"S92000003","","S08000006","","S12000033","S13002482"
"AB101QH",10,393377,806177,"S92000003","","S08000006","","S12000033","S13002482"
"AB101QJ",10,393339,806179,"S92000003","","S08000006","","S12000033","S13002482"
"AB101QL",10,393289,806161,"S92000003","","S08000006","","S12000033","S13002482"
"AB101QN",10,393211,806111,"S92000003","","S08000006","","S12000033","S13002482"
"AB101QQ",10,393347,806246,"S92000003","","S08000006","","S12000033","S13002482"
"AB101QR",10,394120,806211,"S92000003","","S08000006","","S12000033","S13002483"
"AB101QS",10,393703,806040,"S92000003","","S08000006","","S12000033","S13002482"
"AB101QT",10,393821,806076,"S92000003","","S08000006","","S12000033","S13002482"
"AB101QU",10,393826,806093,"S92000003","","S08000006","","S12000033","S13002482"
"AB101QW",10,393241,805835,"S92000003","","S08000006","","S12000033","S13002482"
"AB101QX",10,393857,806089,"S92000003","","S08000006","","S12000033","S13002482"
"AB101QZ",10,393654,806225,"S92000003","","S08000006","","S12000033","S13002482"
"AB101RA",10,393709,806259,"S92000003","","S08000006","","S12000033","S13002482"
"AB101RB",10,393770,806175,"S92000003","","S08000006","","S12000033","S13002482"
"AB101RD",10,393795,806116,"S92000003","","S08000006","","S12000033","S13002482"
"AB101RE",10,393714,806085,"S92000003","","S08000006","","S12000033","S13002482"
"AB101RG",10,392982,805737,"S92000003","","S08000006","","S12000033","S13002485"
"AB101RH",10,393691,806108,"S92000003","","S08000006","","S12000033","S13002482"
"AB101RJ",10,393670,806232,"S92000003","","S08000006","","S12000033","S13002482"
"AB101RL",10,393701,806229,"S92000003","","S08000006","","S12000033","S13002482"
"AB101RN",10,393615,806270,"S92000003","","S08000006","","S12000033","S13002482"
"AB101RP",10,393579,806273,"S92000003","","S08000006","","S12000033","S13002482"
"AB101RQ",10,393479,806208,"S92000003","","S08000006","","S12000033","S13002482"
"AB101RR",10,393496,806197,"S92000003","","S08000006","","S12000033","S13002482"
"AB101RS",10,393578,806123,"S92000003","","S08000006","","S12000033","S13002482"
"AB101RT",10,393415,806192,"S92000003","","S08000006","","S12000033","S13002482"
"AB101RU",10,393124,805747,"S92000003","","S08000006","","S12000033","S13002485"
"AB101RW",10,392931,805733,"S92000003","","S08000006","","S12000033","S13002485"
"AB101RX",10,393593,806187,"S92000003","","S08000006","","S12000033","S13002482"
"AB101RY",10,393653,806133,"S92000003","","S08000006","","S12000033","S13002482"
"AB101RZ",10,393155,805818,"S92000003","","S08000006","","S12000033","S13002482"
"AB101SA",10,393497,805960,"S92000003","","S08000006","","S12000033","S13002482"
"AB101SB",10,393473,806017,"S92000003","","S08000006","","S12000033","S13002482"
"AB101SD",10,393495,806003,"S92000003","","S08000006","","S12000033","S13002482"
"AB101SE",10,393342,806079,"S92000003","","S08000006","","S12000033","S13002482"
"AB101SH",10,393665,806084,"S92000003","","S08000006","","S12000033","S13002482"
"AB101SJ",10,393474,806106,"S92000003","","S08000006","","S12000033","S13002482"
"AB101SL",10,393515,806028,"S92000003","","S08000006","","S12000033","S13002482"
"AB101SN",10,393444,806039,"S92000003","","S08000006","","S12000033","S13002482"
"AB101SP",10,393460,805933,"S92000003","","S08000006","","S12000033","S13002482"
"AB101SQ",10,393439,805904,"S92000003","","S08000006","","S12000033","S13002482"
"AB101SR",10,393424,805997,"S92000003","","S08000006","","S12000033","S13002482"
"AB101SS",10,393428,806011,"S92000003","","S08000006","","S12000033","S13002482"
"AB101ST",10,393342,806079,"S92000003","","S08000006","","S12000033","S13002482"
"AB101SU",10,393310,806126,"S92000003","","S08000006","","S12000033","S13002482"
"AB101SY",10,393405,806217,"S92000003","","S08000006","","S12000033","S13002482"
"AB101TA",10,393455,806216,"S92000003","","S08000006","","S12000033","S13002482"
"AB101TB",10,393455,806216,"S92000003","","S08000006","","S12000033","S13002482"
"AB101TD",10,393446,806149,"S92000003","","S08000006","","S12000033","S13002482"
"AB101TE",10,393480,806123,"S92000003","","S08000006","","S12000033","S13002482"
"AB101TF",10,393448,806125,"S92000003","","S08000006","","S12000033","S13002482"
"AB101TH",10,393574,806073,"S92000003","","S08000006","","S12000033","S13002482"
